id;first_name;last_name;gender;email;phone;address_line_1;address_line_2;city;country;user_id
1;Chelsey;Wyman;OTHER;"z*@7.=>hG<Z";014-991-5975 x53760;Tennessee relationships Ball;full-range;Parkerfort;Uzbekistan;1
2;Thalia;Buckridge;MALE;"b@*'X(].k^|";(832) 385-8607;violet Compatible primary;Credit Card Account;New Dalestad;Ukraine;2
3;Maxine;Gibson;OTHER;"w0]@MYsVUi.+b[";(301) 227-7081 x51545;Georgia;Robust ivory Ports;Port Darienbury;South Georgia and the South Sandwich Islands;3
4;Levi;Lemke;FEMALE;"5'-II@>'5Gy`.L";1-488-295-4126 x80618;high-level fuchsia;International;East Alec;Colombia;4
5;User1;Lemke;FEMALE;"5'-II@>'5Gy`.L";1-488-295-4126 x80618;high-level fuchsia;International;East Alec;Colombia;5
6;User2;Lemke;FEMALE;"5'-II@>'5Gy`.L";1-488-295-4126 x80618;high-level fuchsia;International;East Alec;Colombia;6
7;User3;Lemke;FEMALE;"5'-II@>'5Gy`.L";1-488-295-4126 x80618;high-level fuchsia;International;East Alec;Colombia;7
8;User4;Lemke;FEMALE;"5'-II@>'5Gy`.L";1-488-295-4126 x80618;high-level fuchsia;International;East Alec;Colombia;8
9;User5;Lemke;FEMALE;"5'-II@>'5Gy`.L";1-488-295-4126 x80618;high-level fuchsia;International;East Alec;Colombia;9
10;User6;Lemke;FEMALE;"5'-II@>'5Gy`.L";1-488-295-4126 x80618;high-level fuchsia;International;East Alec;Colombia;10
